序号,类别,名称,行,列,x_mm,y_mm,形状,半径_mm,宽度_mm,高度_mm,备注
1,试剂区,试剂_S1,1,1,316.25,16.5,circle,10.0,,,5x8试剂圆中心；编号S1~S40按图面从左到右、从上到下顺序；列号为图面从左到右，行号为图面从上到下
2,试剂区,试剂_S2,1,2,291.25,16.5,circle,10.0,,,5x8试剂圆中心；编号S1~S40按图面从左到右、从上到下顺序；列号为图面从左到右，行号为图面从上到下
3,试剂区,试剂_S3,1,3,266.25,16.5,circle,10.0,,,5x8试剂圆中心；编号S1~S40按图面从左到右、从上到下顺序；列号为图面从左到右，行号为图面从上到下
4,试剂区,试剂_S4,1,4,241.25,16.5,circle,10.0,,,5x8试剂圆中心；编号S1~S40按图面从左到右、从上到下顺序；列号为图面从左到右，行号为图面从上到下
5,试剂区,试剂_S5,1,5,216.25,16.5,circle,10.0,,,5x8试剂圆中心；编号S1~S40按图面从左到右、从上到下顺序；列号为图面从左到右，行号为图面从上到下
6,试剂区,试剂_S6,2,1,316.25,41.5,circle,10.0,,,5x8试剂圆中心；编号S1~S40按图面从左到右、从上到下顺序；列号为图面从左到右，行号为图面从上到下
7,试剂区,试剂_S7,2,2,291.25,41.5,circle,10.0,,,5x8试剂圆中心；编号S1~S40按图面从左到右、从上到下顺序；列号为图面从左到右，行号为图面从上到下
8,试剂区,试剂_S8,2,3,266.25,41.5,circle,10.0,,,5x8试剂圆中心；编号S1~S40按图面从左到右、从上到下顺序；列号为图面从左到右，行号为图面从上到下
9,试剂区,试剂_S9,2,4,241.25,41.5,circle,10.0,,,5x8试剂圆中心；编号S1~S40按图面从左到右、从上到下顺序；列号为图面从左到右，行号为图面从上到下
10,试剂区,试剂_S10,2,5,216.25,41.5,circle,10.0,,,5x8试剂圆中心；编号S1~S40按图面从左到右、从上到下顺序；列号为图面从左到右，行号为图面从上到下
11,试剂区,试剂_S11,3,1,316.25,66.5,circle,10.0,,,5x8试剂圆中心；编号S1~S40按图面从左到右、从上到下顺序；列号为图面从左到右，行号为图面从上到下
12,试剂区,试剂_S12,3,2,291.25,66.5,circle,10.0,,,5x8试剂圆中心；编号S1~S40按图面从左到右、从上到下顺序；列号为图面从左到右，行号为图面从上到下
13,试剂区,试剂_S13,3,3,266.25,66.5,circle,10.0,,,5x8试剂圆中心；编号S1~S40按图面从左到右、从上到下顺序；列号为图面从左到右，行号为图面从上到下
14,试剂区,试剂_S14,3,4,241.25,66.5,circle,10.0,,,5x8试剂圆中心；编号S1~S40按图面从左到右、从上到下顺序；列号为图面从左到右，行号为图面从上到下
15,试剂区,试剂_S15,3,5,216.25,66.5,circle,10.0,,,5x8试剂圆中心；编号S1~S40按图面从左到右、从上到下顺序；列号为图面从左到右，行号为图面从上到下
16,试剂区,试剂_S16,4,1,316.25,91.5,circle,10.0,,,5x8试剂圆中心；编号S1~S40按图面从左到右、从上到下顺序；列号为图面从左到右，行号为图面从上到下
17,试剂区,试剂_S17,4,2,291.25,91.5,circle,10.0,,,5x8试剂圆中心；编号S1~S40按图面从左到右、从上到下顺序；列号为图面从左到右，行号为图面从上到下
18,试剂区,试剂_S18,4,3,266.25,91.5,circle,10.0,,,5x8试剂圆中心；编号S1~S40按图面从左到右、从上到下顺序；列号为图面从左到右，行号为图面从上到下
19,试剂区,试剂_S19,4,4,241.25,91.5,circle,10.0,,,5x8试剂圆中心；编号S1~S40按图面从左到右、从上到下顺序；列号为图面从左到右，行号为图面从上到下
20,试剂区,试剂_S20,4,5,216.25,91.5,circle,10.0,,,5x8试剂圆中心；编号S1~S40按图面从左到右、从上到下顺序；列号为图面从左到右，行号为图面从上到下
21,试剂区,试剂_S21,5,1,316.25,116.5,circle,10.0,,,5x8试剂圆中心；编号S1~S40按图面从左到右、从上到下顺序；列号为图面从左到右，行号为图面从上到下
22,试剂区,试剂_S22,5,2,291.25,116.5,circle,10.0,,,5x8试剂圆中心；编号S1~S40按图面从左到右、从上到下顺序；列号为图面从左到右，行号为图面从上到下
23,试剂区,试剂_S23,5,3,266.25,116.5,circle,10.0,,,5x8试剂圆中心；编号S1~S40按图面从左到右、从上到下顺序；列号为图面从左到右，行号为图面从上到下
24,试剂区,试剂_S24,5,4,241.25,116.5,circle,10.0,,,5x8试剂圆中心；编号S1~S40按图面从左到右、从上到下顺序；列号为图面从左到右，行号为图面从上到下
25,试剂区,试剂_S25,5,5,216.25,116.5,circle,10.0,,,5x8试剂圆中心；编号S1~S40按图面从左到右、从上到下顺序；列号为图面从左到右，行号为图面从上到下
26,试剂区,试剂_S26,6,1,316.25,141.5,circle,10.0,,,5x8试剂圆中心；编号S1~S40按图面从左到右、从上到下顺序；列号为图面从左到右，行号为图面从上到下
27,试剂区,试剂_S27,6,2,291.25,141.5,circle,10.0,,,5x8试剂圆中心；编号S1~S40按图面从左到右、从上到下顺序；列号为图面从左到右，行号为图面从上到下
28,试剂区,试剂_S28,6,3,266.25,141.5,circle,10.0,,,5x8试剂圆中心；编号S1~S40按图面从左到右、从上到下顺序；列号为图面从左到右，行号为图面从上到下
29,试剂区,试剂_S29,6,4,241.25,141.5,circle,10.0,,,5x8试剂圆中心；编号S1~S40按图面从左到右、从上到下顺序；列号为图面从左到右，行号为图面从上到下
30,试剂区,试剂_S30,6,5,216.25,141.5,circle,10.0,,,5x8试剂圆中心；编号S1~S40按图面从左到右、从上到下顺序；列号为图面从左到右，行号为图面从上到下
31,试剂区,试剂_S31,7,1,316.25,166.5,circle,10.0,,,5x8试剂圆中心；编号S1~S40按图面从左到右、从上到下顺序；列号为图面从左到右，行号为图面从上到下
32,试剂区,试剂_S32,7,2,291.25,166.5,circle,10.0,,,5x8试剂圆中心；编号S1~S40按图面从左到右、从上到下顺序；列号为图面从左到右，行号为图面从上到下
33,试剂区,试剂_S33,7,3,266.25,166.5,circle,10.0,,,5x8试剂圆中心；编号S1~S40按图面从左到右、从上到下顺序；列号为图面从左到右，行号为图面从上到下
