control_id,frontend_name,frontend_category,api_json_path,db_table,db_column_or_json_path,db_key_or_join,link_status,value_policy,null_policy,note
svg-reagent-s11,试剂_S11,试剂区,"$.digitalTwinPayload.items[?name==""试剂_S11""].level",reagent_rack_positions + reagent_rack_placements + reagent_bottles,"code,row_no,column_no,scanner_channel_no,remaining_volume_ul,initial_volume_ul,status",frontend 试剂_S11 -> DB R1,partial,position/status/level from DB; missing bottle/placement -> null,数据库表/行/字段/JSON key 不存在时返回 null，不再使用随机数或前端推算默认值。,位置表可关联；余量依赖 active placement 和 reagent_bottles，未放瓶则 null。
svg-reagent-s21,试剂_S21,试剂区,"$.digitalTwinPayload.items[?name==""试剂_S21""].level",reagent_rack_positions + reagent_rack_placements + reagent_bottles,"code,row_no,column_no,scanner_channel_no,remaining_volume_ul,initial_volume_ul,status",frontend 试剂_S21 -> DB R9,partial,position/status/level from DB; missing bottle/placement -> null,数据库表/行/字段/JSON key 不存在时返回 null，不再使用随机数或前端推算默认值。,位置表可关联；余量依赖 active placement 和 reagent_bottles，未放瓶则 null。
svg-reagent-s31,试剂_S31,试剂区,"$.digitalTwinPayload.items[?name==""试剂_S31""].level",reagent_rack_positions + reagent_rack_placements + reagent_bottles,"code,row_no,column_no,scanner_channel_no,remaining_volume_ul,initial_volume_ul,status",frontend 试剂_S31 -> DB R17,partial,position/status/level from DB; missing bottle/placement -> null,数据库表/行/字段/JSON key 不存在时返回 null，不再使用随机数或前端推算默认值。,位置表可关联；余量依赖 active placement 和 reagent_bottles，未放瓶则 null。
svg-reagent-s41,试剂_S41,试剂区,"$.digitalTwinPayload.items[?name==""试剂_S41""].level",reagent_rack_positions + reagent_rack_placements + reagent_bottles,"code,row_no,column_no,scanner_channel_no,remaining_volume_ul,initial_volume_ul,status",frontend 试剂_S41 -> DB R25,partial,position/status/level from DB; missing bottle/placement -> null,数据库表/行/字段/JSON key 不存在时返回 null，不再使用随机数或前端推算默认值。,位置表可关联；余量依赖 active placement 和 reagent_bottles，未放瓶则 null。
svg-reagent-s51,试剂_S51,试剂区,"$.digitalTwinPayload.items[?name==""试剂_S51""].level",reagent_rack_positions + reagent_rack_placements + reagent_bottles,"code,row_no,column_no,scanner_channel_no,remaining_volume_ul,initial_volume_ul,status",frontend 试剂_S51 -> DB R33,partial,position/status/level from DB; missing bottle/placement -> null,数据库表/行/字段/JSON key 不存在时返回 null，不再使用随机数或前端推算默认值。,位置表可关联；余量依赖 active placement 和 reagent_bottles，未放瓶则 null。
svg-reagent-s12,试剂_S12,试剂区,"$.digitalTwinPayload.items[?name==""试剂_S12""].level",reagent_rack_positions + reagent_rack_placements + reagent_bottles,"code,row_no,column_no,scanner_channel_no,remaining_volume_ul,initial_volume_ul,status",frontend 试剂_S12 -> DB R2,partial,position/status/level from DB; missing bottle/placement -> null,数据库表/行/字段/JSON key 不存在时返回 null，不再使用随机数或前端推算默认值。,位置表可关联；余量依赖 active placement 和 reagent_bottles，未放瓶则 null。
svg-reagent-s22,试剂_S22,试剂区,"$.digitalTwinPayload.items[?name==""试剂_S22""].level",reagent_rack_positions + reagent_rack_placements + reagent_bottles,"code,row_no,column_no,scanner_channel_no,remaining_volume_ul,initial_volume_ul,status",frontend 试剂_S22 -> DB R10,partial,position/status/level from DB; missing bottle/placement -> null,数据库表/行/字段/JSON key 不存在时返回 null，不再使用随机数或前端推算默认值。,位置表可关联；余量依赖 active placement 和 reagent_bottles，未放瓶则 null。
svg-reagent-s32,试剂_S32,试剂区,"$.digitalTwinPayload.items[?name==""试剂_S32""].level",reagent_rack_positions + reagent_rack_placements + reagent_bottles,"code,row_no,column_no,scanner_channel_no,remaining_volume_ul,initial_volume_ul,status",frontend 试剂_S32 -> DB R18,partial,position/status/level from DB; missing bottle/placement -> null,数据库表/行/字段/JSON key 不存在时返回 null，不再使用随机数或前端推算默认值。,位置表可关联；余量依赖 active placement 和 reagent_bottles，未放瓶则 null。
svg-reagent-s42,试剂_S42,试剂区,"$.digitalTwinPayload.items[?name==""试剂_S42""].level",reagent_rack_positions + reagent_rack_placements + reagent_bottles,"code,row_no,column_no,scanner_channel_no,remaining_volume_ul,initial_volume_ul,status",frontend 试剂_S42 -> DB R26,partial,position/status/level from DB; missing bottle/placement -> null,数据库表/行/字段/JSON key 不存在时返回 null，不再使用随机数或前端推算默认值。,位置表可关联；余量依赖 active placement 和 reagent_bottles，未放瓶则 null。
svg-reagent-s52,试剂_S52,试剂区,"$.digitalTwinPayload.items[?name==""试剂_S52""].level",reagent_rack_positions + reagent_rack_placements + reagent_bottles,"code,row_no,column_no,scanner_channel_no,remaining_volume_ul,initial_volume_ul,status",frontend 试剂_S52 -> DB R34,partial,position/status/level from DB; missing bottle/placement -> null,数据库表/行/字段/JSON key 不存在时返回 null，不再使用随机数或前端推算默认值。,位置表可关联；余量依赖 active placement 和 reagent_bottles，未放瓶则 null。
